time (ms),datetime,samples,Viavi.UE.Name,Viavi.UE.Slice,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.mMIMO.Type,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.UE.targetThroughputDl,Viavi.UE.anomalies,Viavi.QoS.Priority,Viavi.QoS.5qi,Viavi.DL.Latency,Viavi.QoS.Score,DRB.UECqiUl,DRB.UEBlerUl,Viavi.DRB.UeMcsUl,DRB.UEThpUl,RRU.PrbUsedUl,TB.TotNbrUl,DRB.UECqiDl,DRB.UEBlerDl,Viavi.DRB.UeMcsDl,DRB.UEThpDl,RRU.PrbUsedDl,RRU.PrbTotDl,RRU.PrbTotUl,TB.TotNbrDl,Viavi.CA.cells,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.UE.servingDistance,RRC.timingAdvance,Viavi.UE.RI
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-1,eMBB,S7/N12/C2,0,CSI-RS,-120.053,-12.04,1.95111,0.8,0,20,1,0,93.9856,0,0,0,0.0352295,11.01,447.509,4.97778,0.075453,5.97333,0.748923,7.08037,6.67959,10.3868,4059.5,1,1423,-775,31.9889,506,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-2,eMBB,S3/N12/C3,0,CSI-RS,-117.298,-12.2322,2.76333,0.8,0,20,1,0,88.8511,0,0,0,0.0824372,24.7767,445.533,5.93333,0.106492,7.91111,0.711691,5.17914,4.88598,23.3742,4057.53,1,-1938,83,12,989.052,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-3,eMBB,S7/N12/C2,0,CSI-RS,-121,-13,0.997778,0.8,0,20,1,0,89.0044,0,0,0,0.0312637,10.0156,449.5,4,0.0733406,4.99778,0.712924,8.00469,7.5516,9.44864,4061.5,1,1744,-1406,46,1050,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-4,eMBB,S1/N12/C2,0,CSI-RS,-136.093,-24.0889,-13.0489,0.8,0,20,1,0,90.7567,0,0,0,0.035058,10.96,447.51,0,1,0,0.725122,24.9348,23.5234,10.3396,4053.56,1,520,-1309,35.9844,2444.13,6.96111,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-5,eMBB,S4/N12/C3,0,CSI-RS,-133.107,-22.0978,-10.0722,0.8,0,20,1,0,40.72,0,0,0,0.0216597,7.01333,447.51,0,0.643355,0,0.329355,11.3916,10.7468,6.61635,2055.95,1,1730,-1331,25.9956,1575.74,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-6,eMBB,S5/N1/C2,0,CSI-RS,-157,-44,-24,0.8,0,20,1,0,91,0,0,0,0.0830639,24.9622,449.5,0,1,0,0.727051,24.9981,23.5832,23.5493,4061.5,1,-1974,99,2,962,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-7,eMBB,S3/N12/C2,0,CSI-RS,-139.08,-27.0756,-16.0356,0.8,0,20,1,0,85.4489,0,0,0,0.0518686,15.9578,447.51,0,1,0,0.68704,23.7315,22.3882,15.0545,4050.58,1,473,-1316,25.9956,1977.62,0.994444,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-8,eMBB,S3/N12/C2,0,CSI-RS,-113.316,-11.2567,6.70667,0.8,0,20,1,0,117.46,0,0,0,0.0485487,14.9233,445.533,7.91222,0.0926821,12.8556,0.939041,4.17198,3.93583,14.0786,4051.58,1,-622,-160,12,404.467,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-9,eMBB,S1/N12/C3,0,CSI-RS,-125.142,-15.1289,-2.09778,0.8,0,20,1,0,90.8,0,0,0,0.0175587,5.98667,447.51,2.98667,0.101313,2.98667,0.725465,12.0041,11.3246,5.6478,4048.53,1,-1398,1106,2,885,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-10,eMBB,S4/N12/C3,0,CSI-RS,-125.116,-15.1067,-3.09222,0.8,0,20,1,0,58.1522,0,0,0,0.0216144,7,447.51,2.98667,0.0909777,1.99222,0.465582,10.5598,9.96203,6.60377,4059.51,1,1320,-850,25.9956,1228.44,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-11,eMBB,S3/N1/C1,0,CSI-RS,-123.151,-14.1333,-0.106667,0.8,0,20,1,0,91,0,0,0,0.082879,24.9067,447.51,3.98222,0.0728702,3.98222,0.727051,10.0667,9.49686,23.4969,4059.51,1,-711,553,31.9889,544.167,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-12,eMBB,S3/N12/C2,0,CSI-RS,-126.116,-17.1056,-5.08222,0.8,0,20,1,0,85.4478,0,0,0,0.0487727,14.99,447.51,1.99222,0.0765778,0.00222222,0.687033,23.721,22.3783,14.1415,4050.58,1,-246,-623,25.9956,982.967,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,899,Indoor-13,eMBB,S6/N12/C1,0,CSI-RS,-105.058,-10.0378,15.9555,0.79911,0,20,1,0,138.95,0,0,0,0.0384749,12.0222,447.003,12.9855,0.0915095,23.9733,1.10793,2.02657,1.91186,11.3417,4055,0.998888,-245,-590,32,471.475,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-14,eMBB,S1/N12/C2,0,CSI-RS,-157,-44,-24,0.8,0,20,1,0,90.5744,0,0,0,0.0350811,10.9689,449.5,0,1,0,0.723652,24.8838,23.4753,10.348,4036.62,1,-1542,1432,12,1135,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-15,eMBB,S1/N12/C3,0,CSI-RS,-116.089,-11.0867,4.89111,0.8,0,20,1,0,88.8111,0,0,0,0.0175587,5.98667,447.51,6.96889,0.088202,10.9511,0.711376,4.04086,3.81214,5.6478,4047.53,1,-726,542,31.9889,412,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-16,eMBB,S4/N12/C3,0,CSI-RS,-135.098,-24.0889,-13.0489,0.8,0,20,1,0,41.6978,0,0,0,0.0216011,6.99667,447.51,0,1,0,0.331973,11.6786,11.0176,6.60063,2555.1,1,783,-1134,16,1761.38,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-17,eMBB,S5/N12/C2,0,CSI-RS,-111.204,-11.1467,10.8444,0.8,0,20,1,0,91,0,0,0,0.0693136,20.92,447.51,9.95556,0.0936019,18.9156,0.727051,2.10321,1.98416,19.7358,4059.51,1,-1552,-1082,16,406,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-18,eMBB,S6/N12/C2,0,CSI-RS,-125.133,-15.1289,-2.09778,0.8,0,20,1,0,91,0,0,0,0.0692549,20.9033,447.51,2.98667,0.101313,2.98667,0.727051,12.0575,11.375,19.7201,4059.51,1,521,-1225,41.9778,671.661,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-19,eMBB,S4/N12/C3,0,CSI-RS,-132.111,-21.1022,-9.06667,0.8,0,20,1,0,40.72,0,0,0,0.0216357,7.00667,447.51,0,0.41171,0,0.329363,11.3912,10.7464,6.61006,2052.97,1,1399,-896,12,1235.89,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-20,eMBB,S3/N12/C1,0,CSI-RS,-119.169,-12.1422,1.88444,0.8,0,20,1,0,93.9856,0,0,0,0.0590413,17.95,447.51,4.97778,0.0780793,5.97333,0.748923,7.08037,6.67959,16.934,4059.51,1,-744,589,16,562.978,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-21,eMBB,S3/N12/C2,0,CSI-RS,-133.107,-22.0978,-11.0578,0.8,0,20,1,0,85.4489,0,0,0,0.0486928,14.9667,447.51,0,1,0,0.687044,23.7316,22.3883,14.1195,4050.58,1,566,-1327,12,2052.26,1.98889,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-22,eMBB,S4/N12/C3,0,CSI-RS,-133.107,-22.0978,-10.0622,0.8,0,20,1,0,41.71,0,0,0,0.0216251,7.00333,447.51,0,0.639737,0,0.332056,11.6809,11.0197,6.60692,2554.35,1,1487,-802,45.9733,1116.96,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-23,eMBB,S4/N12/C3,0,CSI-RS,-131.116,-20.1067,-8.07111,0.8,0,20,1,0,40.7133,0,0,0,0.0216011,6.99667,447.51,0.995556,0.26653,0,0.329197,11.3899,10.7452,6.60063,2052.97,1,1387,-914,25.9956,1257.73,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-24,eMBB,S6/N12/C1,0,CSI-RS,-109.26,-11.1667,9.71889,0.8,0,20,1,0,127.474,0,0,0,0.0383734,11.99,445.533,9.89222,0.097162,17.8033,1.01826,3.20074,3.01957,11.3113,4048.6,1,-247,-606,45.9467,461.44,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-25,eMBB,S1/N12/C3,0,CSI-RS,-114.036,-11.0433,4.93667,0.8,0,20,1,0,88.8978,0,0,0,0.0175587,5.98667,447.51,6.96556,0.0847698,10.9433,0.712071,4.05086,3.82157,5.6478,4048.53,1,-731,554,31.9889,404,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-26,eMBB,S1/N12/C1,0,CSI-RS,-124.071,-14.0622,-2.06556,0.8,0,20,1,0,91,0,0,0,0.0828097,24.8867,447.51,2.98778,0.101315,2.98778,0.727051,12.0553,11.3729,23.478,4059.51,1,-1103,1433,12,774,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-27,eMBB,S6/N12/C1,0,CSI-RS,-117,-12,1.99333,0.8,0,20,1,0,93.9433,0,0,0,0.0386561,12.0756,449.5,4.99333,0.0740081,5.99556,0.748618,7.00481,6.60832,11.392,4061.5,1,-213,-544,32,510,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:00:00,1,Indoor-28,eMBB,S1/N12/C3,0,CSI-RS,-148,-36,-24,0,0,20,1,0,100,0,0,0,0,0,0,0,1,0,0.727051,23.3333,22.0126,0,16,0,-1517,1437,2,0,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-29,eMBB,S3/N12/C1,0,CSI-RS,-113.196,-11.1467,7.85778,0.8,0,20,1,0,97.9678,0,0,0,0.0550009,16.9367,447.51,7.96444,0.0883086,13.9378,0.784405,3.09864,2.92325,15.978,4059.51,1,-727,545,35.9844,530.328,0,1
